Wikidata ID,nLab,nLab link,Wikidata Label
Q97359632,categorical trace,https://ncatlab.org/nlab/show/categorical+trace,Categorical trace
Q15830473,categoricity,https://ncatlab.org/nlab/show/categoricity,Categorical theory
Q5051820,Categories for the Working Mathematician,https://ncatlab.org/nlab/show/Categories+for+the+Working+Mathematician,Categories for the Working Mathematician
Q714737,category (philosophy),https://ncatlab.org/nlab/show/category+%28philosophy%29,Theory of categories
Q5051809,category algebra,https://ncatlab.org/nlab/show/category+algebra,Category algebra
Q1735821,category mistake,https://ncatlab.org/nlab/show/category+mistake,Category mistake
Q714737,category of being,https://ncatlab.org/nlab/show/category+of+being,Theory of categories
Q1143328,category of chain complexes,https://ncatlab.org/nlab/show/category+of+chain+complexes,Chain complex
Q2785361,category of monoids,https://ncatlab.org/nlab/show/category+of+monoids,Monoid object
Q7241077,category of presheaves,https://ncatlab.org/nlab/show/category+of+presheaves,Presheaf (category theory)
Q217413,category theory,https://ncatlab.org/nlab/show/category+theory,CategoryTheory
Q1050689,Caterina Consani,https://ncatlab.org/nlab/show/Caterina+Consani,Caterina Consani
Q6568683,Catharina Stroppel,https://ncatlab.org/nlab/show/Catharina+Stroppel,Catharina Stroppel
Q1051008,Catherine Meusburger,https://ncatlab.org/nlab/show/Catherine+Meusburger,Catherine Meusburger
Q44560006,Catherine Ray,https://ncatlab.org/nlab/show/Catherine+Ray,Catherine Ray
Q128199302,Cauchy completion,https://ncatlab.org/nlab/show/Cauchy+completion,Completions in category theory
Q652446,Cauchy filter,https://ncatlab.org/nlab/show/Cauchy+filter,Uniform space
Q5054344,Cauchy space,https://ncatlab.org/nlab/show/Cauchy+space,Cauchy space
Q5054343,Cauchy surface,https://ncatlab.org/nlab/show/Cauchy+surface,Cauchy surface
Q1139041,Cauchy theorem,https://ncatlab.org/nlab/show/Cauchy+theorem,Cauchy's theorem (group theory)
Q622741,Cauchy-Riemann equation,https://ncatlab.org/nlab/show/Cauchy-Riemann+equation,Cauchy–Riemann equations
Q2364925,causal structure,https://ncatlab.org/nlab/show/causal+structure,Space-like
Q1139715,causet,https://ncatlab.org/nlab/show/causet,Causal set
Q5055329,Cayley distance,https://ncatlab.org/nlab/show/Cayley+distance,Cayley–Klein metric
Q189061,cell complex,https://ncatlab.org/nlab/show/cell+complex,CW complex
Q3139849,cellular homology,https://ncatlab.org/nlab/show/cellular+homology,Cellular homology
Q3658596,central charge,https://ncatlab.org/nlab/show/central+charge,Central charge
Q5062139,central product of groups,https://ncatlab.org/nlab/show/central+product+of+groups,Central product
Q5065416,Cesar Arias,https://ncatlab.org/nlab/show/Cesar+Arias,César Arias
Q779798,Cesare Burali-Forti,https://ncatlab.org/nlab/show/Cesare+Burali-Forti,Cesare Burali-Forti
Q47008587,Chaim Goodman-Strauss,https://ncatlab.org/nlab/show/Chaim+Goodman-Strauss,Chaim Goodman-Strauss
Q25036778,chain homotopy equivalence,https://ncatlab.org/nlab/show/chain+homotopy+equivalence,Glossary of algebraic topology
Q1456811,Chaitin's incompleteness theorem,https://ncatlab.org/nlab/show/Chaitin%27s+incompleteness+theorem,Kolmogorov complexity
Q6100701,characteristic ideal,https://ncatlab.org/nlab/show/characteristic+ideal,Iwasawa algebra
Q15947064,characteristic series,https://ncatlab.org/nlab/show/characteristic+series,Characteristic power series
Q16858979,characteristic variety,https://ncatlab.org/nlab/show/characteristic+variety,Characteristic variety
Q836088,characteristic zero,https://ncatlab.org/nlab/show/characteristic+zero,Characteristic (algebra)
Q4115391,charged current,https://ncatlab.org/nlab/show/charged+current,Charged current
Q5075146,Charles Angas Hurst,https://ncatlab.org/nlab/show/Charles+Angas+Hurst,Charles Angas Hurst
Q105987,Charles Boyer,https://ncatlab.org/nlab/show/Charles+Boyer,Charles Boyer
Q271023,Charles Curtis,https://ncatlab.org/nlab/show/Charles+Curtis,Charles Curtis
Q16003665,Charles Doran,https://ncatlab.org/nlab/show/Charles+Doran,Charles Doran
Q304712,Charles Ehresmann,https://ncatlab.org/nlab/show/Charles+Ehresmann,Ehresmann
Q284129,Charles Fefferman,https://ncatlab.org/nlab/show/Charles+Fefferman,Charles Fefferman
Q450950,Charles H. Bennett,https://ncatlab.org/nlab/show/Charles+H.+Bennett,Charles Bennett
Q168401,Charles Hermite,https://ncatlab.org/nlab/show/Charles+Hermite,Hermite
Q5079675,Charles Kane,https://ncatlab.org/nlab/show/Charles+Kane,Charlie Kane
Q1065189,Charles Kittel,https://ncatlab.org/nlab/show/Charles+Kittel,Charles Kittel
Q364238,Charles Misner,https://ncatlab.org/nlab/show/Charles+Misner,Charles W. Misner
Q78084337,Charles Rezk,https://ncatlab.org/nlab/show/Charles+Rezk,Charles Rezk
Q187520,Charles Sanders Peirce,https://ncatlab.org/nlab/show/Charles+Sanders+Peirce,Charles Sanders Peirce
Q102077658,Charles Sommerfield,https://ncatlab.org/nlab/show/Charles+Sommerfield,Charles M. Sommerfield
Q413475,Charles Thomas,https://ncatlab.org/nlab/show/Charles+Thomas,Charles Thomas
Q5082931,Charles Thorn,https://ncatlab.org/nlab/show/Charles+Thorn,Charles Thorn
Q17053407,Charles Walter,https://ncatlab.org/nlab/show/Charles+Walter,Carl Walter
Q13359529,Charles Weibel,https://ncatlab.org/nlab/show/Charles+Weibel,Charles Weibel
Q5083430,Charles Wells,https://ncatlab.org/nlab/show/Charles+Wells,Charles Wells
Q62795869,Charles-Michel Marle,https://ncatlab.org/nlab/show/Charles-Michel+Marle,Charles-Michel Marle
Q6754,charm quark,https://ncatlab.org/nlab/show/charm+quark,Charm quark
Q1540413,charmonium,https://ncatlab.org/nlab/show/charmonium,Charmonium
Q11344,chemical element,https://ncatlab.org/nlab/show/chemical+element,Chemical element
Q181369,Chen Ning Yang,https://ncatlab.org/nlab/show/Chen+Ning+Yang,Yang Chen-Ning
Q1069818,Chern character,https://ncatlab.org/nlab/show/Chern+character,Chern class
Q5646449,Chern connection,https://ncatlab.org/nlab/show/Chern+connection,Hermitian connection
Q1528019,Chern-Simons theory,https://ncatlab.org/nlab/show/Chern-Simons+theory,Chern-Simons
Q90689485,Chetan Nayak,https://ncatlab.org/nlab/show/Chetan+Nayak,Chetan Nayak
Q1406425,Chevalley group,https://ncatlab.org/nlab/show/Chevalley+group,Group of Lie type
Q3366885,Chevalley's theorem on constructible sets,https://ncatlab.org/nlab/show/Chevalley%27s+theorem+on+constructible+sets,Constructible set (topology)
Q5095243,Chiara Nappi,https://ncatlab.org/nlab/show/Chiara+Nappi,Chiara Nappi
Q1430886,child's drawing,https://ncatlab.org/nlab/show/child%27s+drawing,Child art
Q5101826,chiral anomaly,https://ncatlab.org/nlab/show/chiral+anomaly,Chiral anomaly
Q604907,chiral fermion,https://ncatlab.org/nlab/show/chiral+fermion,Spinor
Q5104040,choice sequence,https://ncatlab.org/nlab/show/choice+sequence,Choice sequence
Q5105523,Chow group,https://ncatlab.org/nlab/show/Chow+group,Chow group
Q840594,Chow motive,https://ncatlab.org/nlab/show/Chow+motive,Motive (algebraic geometry)
Q5105494,Chow's theorem,https://ncatlab.org/nlab/show/Chow%27s+theorem,Chow's theorem
Q5105862,Chris Beasley,https://ncatlab.org/nlab/show/Chris+Beasley,Chris Beasley
Q1077180,Chris Doran,https://ncatlab.org/nlab/show/Chris+Doran,Chris Doran
Q377424,Chris Elliott,https://ncatlab.org/nlab/show/Chris+Elliott,Chris Elliott
Q217528,Chris Fields,https://ncatlab.org/nlab/show/Chris+Fields,Oklahoma City bombing
Q414662,Chris Harris,https://ncatlab.org/nlab/show/Chris+Harris,Chris Harris
Q61946627,Chris Isham,https://ncatlab.org/nlab/show/Chris+Isham,Chris Isham
Q5107741,Chris Peters,https://ncatlab.org/nlab/show/Chris+Peters,Chris Peters
Q5107918,Chris Rogers,https://ncatlab.org/nlab/show/Chris+Rogers,Chris Rogers
Q2964898,Chris Woodward,https://ncatlab.org/nlab/show/Chris+Woodward,Chris Woodward
Q107649,Christian Becker,https://ncatlab.org/nlab/show/Christian+Becker,Christian Becker
Q1079111,Christian Bär,https://ncatlab.org/nlab/show/Christian+B%C3%A4r,Christian Bär
Q1080675,Christian Krattenthaler,https://ncatlab.org/nlab/show/Christian+Krattenthaler,Christian Krattenthaler
Q41446407,Christian Voigt,https://ncatlab.org/nlab/show/Christian+Voigt,Christian Voigt
Q33138766,Christine Paulin-Mohring,https://ncatlab.org/nlab/show/Christine+Paulin-Mohring,Christine Paulin-Mohring
Q92236,Christof Wetterich,https://ncatlab.org/nlab/show/Christof+Wetterich,Christof Wetterich
Q847816,Christoffel symbols,https://ncatlab.org/nlab/show/Christoffel+symbols,Christoffel symbol
Q370140,Christophe Breuil,https://ncatlab.org/nlab/show/Christophe+Breuil,Christophe Breuil
Q1086403,Christophe Soulé,https://ncatlab.org/nlab/show/Christophe+Soul%C3%A9,Christophe Soulé
Q120413,Christopher Deninger,https://ncatlab.org/nlab/show/Christopher+Deninger,Christopher Deninger
Q5106423,Christopher Douglas,https://ncatlab.org/nlab/show/Christopher+Douglas,Christopher Douglas
Q16208540,Christopher Dwyer,https://ncatlab.org/nlab/show/Christopher+Dwyer,Chris Dwyer
Q45947,Christopher Hull,https://ncatlab.org/nlab/show/Christopher+Hull,Chris Hull
Q118369382,Christopher Pope,https://ncatlab.org/nlab/show/Christopher+Pope,"Pope, Christopher"
Q93122,Christopher Strachey,https://ncatlab.org/nlab/show/Christopher+Strachey,Christopher Strachey
Q92639,Christos Papadimitriou,https://ncatlab.org/nlab/show/Christos+Papadimitriou,Christos Papadimitriou
Q16958142,chromatic homotopy theory,https://ncatlab.org/nlab/show/chromatic+homotopy+theory,Chromatic homotopy theory
Q16958142,chromatic tower,https://ncatlab.org/nlab/show/chromatic+tower,Chromatic homotopy theory
Q3710516,Chung Tao Yang,https://ncatlab.org/nlab/show/Chung+Tao+Yang,Chung Tao Yang
Q1089708,Church numeral,https://ncatlab.org/nlab/show/Church+numeral,Church numeral
Q644047,Chuu-Lian Terng,https://ncatlab.org/nlab/show/Chuu-Lian+Terng,Chuu-Lian Terng
Q3147827,Chu–Vandermonde identity,https://ncatlab.org/nlab/show/Chu%E2%80%93Vandermonde+identity,Vandermonde's identity
Q560828,Ciprian Manolescu,https://ncatlab.org/nlab/show/Ciprian+Manolescu,Ciprian Manulescu
Q105356493,circle action,https://ncatlab.org/nlab/show/circle+action,Circle group
Q167,circle constant,https://ncatlab.org/nlab/show/circle+constant,Pi
Q105356493,circle group,https://ncatlab.org/nlab/show/circle+group,Circle group
Q778785,circled set,https://ncatlab.org/nlab/show/circled+set,Balanced set
Q843905,circumference of a circle,https://ncatlab.org/nlab/show/circumference+of+a+circle,Circumference
Q253728,CKM matrix,https://ncatlab.org/nlab/show/CKM+matrix,Cabibbo–Kobayashi–Maskawa matrix
Q468049,Claire Voisin,https://ncatlab.org/nlab/show/Claire+Voisin,Claire Voisin
Q211503,clan,https://ncatlab.org/nlab/show/clan,Clan
Q725642,Clarence I. Lewis,https://ncatlab.org/nlab/show/Clarence+I.+Lewis,C. I. Lewis
Q52106822,Clark Barwick,https://ncatlab.org/nlab/show/Clark+Barwick,Clark Barwick
Q1353233,class equation,https://ncatlab.org/nlab/show/class+equation,Conjugacy class
Q1664689,class object,https://ncatlab.org/nlab/show/class+object,Instance (programming)
Q567560,classical anomaly,https://ncatlab.org/nlab/show/classical+anomaly,Anomaly (physics)
Q377930,classical electrodynamics,https://ncatlab.org/nlab/show/classical+electrodynamics,Classical electromagnetism
Q2285809,classical Lie group,https://ncatlab.org/nlab/show/classical+Lie+group,Classical groups
Q3090317,classical limit,https://ncatlab.org/nlab/show/classical+limit,Classical limit
Q11397,classical mechanics,https://ncatlab.org/nlab/show/classical+mechanics,Newtonian physics
Q81745,classical physics,https://ncatlab.org/nlab/show/classical+physics,Classical physics
Q17006942,classifying topos,https://ncatlab.org/nlab/show/classifying+topos,Classifying topos
Q634850,Claude Chevalley,https://ncatlab.org/nlab/show/Claude+Chevalley,Claude Chevalley
Q2977227,Claude Crépeau,https://ncatlab.org/nlab/show/Claude+Cr%C3%A9peau,Claude Crépeau
Q128126,Claude Lévi-Strauss,https://ncatlab.org/nlab/show/Claude+L%C3%A9vi-Strauss,Claude Levi-Strauss
Q15433438,Claude Sabbah,https://ncatlab.org/nlab/show/Claude+Sabbah,Claude Sabbah
Q92760,Claude Shannon,https://ncatlab.org/nlab/show/Claude+Shannon,Claude Shannon
Q47456512,Claudia de Rham,https://ncatlab.org/nlab/show/Claudia+de+Rham,Claudia de Rham
Q1098136,Claudio Procesi,https://ncatlab.org/nlab/show/Claudio+Procesi,Claudio Procesi
Q440387,Claudio Teitelboim,https://ncatlab.org/nlab/show/Claudio+Teitelboim,Claudio Teitelboin
Q14915113,Claus Michael Ringel,https://ncatlab.org/nlab/show/Claus+Michael+Ringel,Claus Michael Ringel
Q23749629,Claus Montonen,https://ncatlab.org/nlab/show/Claus+Montonen,Claus Montonen
Q347889,cleavage,https://ncatlab.org/nlab/show/cleavage,Cleavage
Q84925,Clemens Berger,https://ncatlab.org/nlab/show/Clemens+Berger,Clemens Berger
Q5132640,Clifford Johnson,https://ncatlab.org/nlab/show/Clifford+Johnson,Cliff Johnson
Q544991,Clifford Taubes,https://ncatlab.org/nlab/show/Clifford+Taubes,Clifford Taubes
Q950146,Clifford Truesdell,https://ncatlab.org/nlab/show/Clifford+Truesdell,Clifford Truesdell
Q320369,clopen subset,https://ncatlab.org/nlab/show/clopen+subset,Clopen set
Q2100733,closed differential form,https://ncatlab.org/nlab/show/closed+differential+form,Exact form
Q147978,closed point,https://ncatlab.org/nlab/show/closed+point,Zariski topology
Q660730,closed subspace,https://ncatlab.org/nlab/show/closed+subspace,Topological subspace
Q10894825,closure algebra,https://ncatlab.org/nlab/show/closure+algebra,Interior algebra
Q182949,club,https://ncatlab.org/nlab/show/club,Club
Q5136742,clutching construction,https://ncatlab.org/nlab/show/clutching+construction,Clutching construction
Q1777803,co-associativity,https://ncatlab.org/nlab/show/co-associativity,Coalgebra
Q5137654,coadjoint action,https://ncatlab.org/nlab/show/coadjoint+action,Coadjoint representation
Q5137654,coadjoint orbit,https://ncatlab.org/nlab/show/coadjoint+orbit,Coadjoint representation
Q4502433,coarse structure,https://ncatlab.org/nlab/show/coarse+structure,Coarse structure
Q5138065,coarse topology,https://ncatlab.org/nlab/show/coarse+topology,Coarse topology
Q2546666,cobordism theory,https://ncatlab.org/nlab/show/cobordism+theory,Bordism
Q1777803,cocommutative coalgebra,https://ncatlab.org/nlab/show/cocommutative+coalgebra,Coalgebra
Q1850712,cocone,https://ncatlab.org/nlab/show/cocone,Cone (category theory)
Q1322614,cocontinuous functor,https://ncatlab.org/nlab/show/cocontinuous+functor,Limit (category theory)
Q325980,coercion,https://ncatlab.org/nlab/show/coercion,Coercion
Q16858946,coextension of scalars,https://ncatlab.org/nlab/show/coextension+of+scalars,Restriction of scalars
Q306560,cofiber,https://ncatlab.org/nlab/show/cofiber,Mapping cone (topology)
Q7260695,cofiber sequence,https://ncatlab.org/nlab/show/cofiber+sequence,Puppe sequence
Q1048949,cofibration,https://ncatlab.org/nlab/show/cofibration,Cofibration
Q5141045,cofinal,https://ncatlab.org/nlab/show/cofinal,Cofinal (mathematics)
Q5141056,coframe,https://ncatlab.org/nlab/show/coframe,Coframe field
Q2855673,cofree coalgebra,https://ncatlab.org/nlab/show/cofree+coalgebra,Cofree coalgebra
Q17000267,cogenerator,https://ncatlab.org/nlab/show/cogenerator,Generator (category theory)
Q765994,cogroup,https://ncatlab.org/nlab/show/cogroup,Group object
Q2893695,Cohen-Macaulay module,https://ncatlab.org/nlab/show/Cohen-Macaulay+module,Cohen–Macaulay ring
Q5141363,coherence space,https://ncatlab.org/nlab/show/coherence+space,Coherent space
Q25303633,coherent cohomology,https://ncatlab.org/nlab/show/coherent+cohomology,Coherent cohomology
Q1340572,coherent module,https://ncatlab.org/nlab/show/coherent+module,Finitely generated module
Q1032070,coherent state,https://ncatlab.org/nlab/show/coherent+state,Coherent state
Q294876,cohesive,https://ncatlab.org/nlab/show/cohesive,Cohesive
Q19596425,cohomological descent,https://ncatlab.org/nlab/show/cohomological+descent,Cohomological descent
Q5141399,cohomology ring,https://ncatlab.org/nlab/show/cohomology+ring,Cohomology ring
Q5141401,cohomotopy,https://ncatlab.org/nlab/show/cohomotopy,Cohomotopy
Q4227156,coinduction,https://ncatlab.org/nlab/show/coinduction,Coinduction
Q288465,coinvariant,https://ncatlab.org/nlab/show/coinvariant,Group action
Q5145379,Colin McLarty,https://ncatlab.org/nlab/show/Colin+McLarty,Colin McLarty
Q21027088,Colin Rourke,https://ncatlab.org/nlab/show/Colin+Rourke,Colin P. Rourke
Q1433083,collision entropy,https://ncatlab.org/nlab/show/collision+entropy,Renyi entropy
Q5147828,colocalization,https://ncatlab.org/nlab/show/colocalization,Colocalization
Q1396451,colour superconductivity,https://ncatlab.org/nlab/show/colour+superconductivity,Color superconductivity
Q1481571,combinatory logic,https://ncatlab.org/nlab/show/combinatory+logic,Combinator
Q1780005,comma category,https://ncatlab.org/nlab/show/comma+category,Comma category
Q7624569,commutative monad,https://ncatlab.org/nlab/show/commutative+monad,Strong monad
Q165474,commutative operation,https://ncatlab.org/nlab/show/commutative+operation,Commutative
Q621542,commutative square,https://ncatlab.org/nlab/show/commutative+square,Commutative diagram
Q621542,commutative triangle,https://ncatlab.org/nlab/show/commutative+triangle,Commutative diagram
Q1970172,commutative von Neumann algebra,https://ncatlab.org/nlab/show/commutative+von+Neumann+algebra,Von Neumann algebra
Q522216,commutator subgroup,https://ncatlab.org/nlab/show/commutator+subgroup,Commutator subgroup
Q1308,Como,https://ncatlab.org/nlab/show/Como,Como
Q2785361,comonoid,https://ncatlab.org/nlab/show/comonoid,Monoid object
Q2092045,comoving time,https://ncatlab.org/nlab/show/comoving+time,Comoving and proper distances
Q5155306,compact element,https://ncatlab.org/nlab/show/compact+element,Compact element
Q381892,compact Hausdorff space,https://ncatlab.org/nlab/show/compact+Hausdorff+space,Compact space
Q65090869,compact object,https://ncatlab.org/nlab/show/compact+object,Compact object (mathematics)
Q1136376,compact support,https://ncatlab.org/nlab/show/compact+support,Support (mathematics)
Q1887083,compact topological group,https://ncatlab.org/nlab/show/compact+topological+group,Compact group
Q381892,compactum,https://ncatlab.org/nlab/show/compactum,Compact space
Q28113351,comparison,https://ncatlab.org/nlab/show/comparison,Inequality (mathematics)
Q3412598,complete quadrangle,https://ncatlab.org/nlab/show/complete+quadrangle,Complete quadrangle
Q7446190,complete Segal space,https://ncatlab.org/nlab/show/complete+Segal+space,Segal space
Q848569,complete space,https://ncatlab.org/nlab/show/complete+space,Complete metric space
Q3508260,complete theory,https://ncatlab.org/nlab/show/complete+theory,Maximal consistent set
Q902052,completeness theorem,https://ncatlab.org/nlab/show/completeness+theorem,Gödel's completeness theorem
Q50704,completing the square,https://ncatlab.org/nlab/show/completing+the+square,Completing the square
Q3685258,completion of a group,https://ncatlab.org/nlab/show/completion+of+a+group,Completion of a ring
Q3685258,completion of a module,https://ncatlab.org/nlab/show/completion+of+a+module,Completion of a ring
Q3685258,completion of a ring,https://ncatlab.org/nlab/show/completion+of+a+ring,Completion of a ring
Q3889649,complex analytic space,https://ncatlab.org/nlab/show/complex+analytic+space,Complex-analytic variety
Q381040,complex conjugation,https://ncatlab.org/nlab/show/complex+conjugation,Complex conjugate
Q266237,complex curve,https://ncatlab.org/nlab/show/complex+curve,Algebraic curve
Q2137810,complex geometry,https://ncatlab.org/nlab/show/complex+geometry,Complex geometry
Q16950707,complex oriented cohomology theory,https://ncatlab.org/nlab/show/complex+oriented+cohomology+theory,Complex-oriented cohomology theory
Q5156607,complex structure,https://ncatlab.org/nlab/show/complex+structure,Complex structure
Q445569,complexification,https://ncatlab.org/nlab/show/complexification,Complexification
Q652567,complexity theory,https://ncatlab.org/nlab/show/complexity+theory,Complexity theory
Q5156801,composition ring,https://ncatlab.org/nlab/show/composition+ring,Composition ring
Q936559,compositionality,https://ncatlab.org/nlab/show/compositionality,Principle of compositionality
Q2667573,Comptes rendus hebdomadaires des séances de l'Académie des sciences,https://ncatlab.org/nlab/show/Comptes+rendus+hebdomadaires+des+s%C3%A9ances+de+l%27Acad%C3%A9mie+des+sciences,Comptes rendus de l'Académie des Sciences
Q818888,computability,https://ncatlab.org/nlab/show/computability,Computable
Q818895,computable real number,https://ncatlab.org/nlab/show/computable+real+number,Computable number
Q877945,computable set,https://ncatlab.org/nlab/show/computable+set,Computable set
Q7226477,computad,https://ncatlab.org/nlab/show/computad,Computad
Q12525525,computation,https://ncatlab.org/nlab/show/computation,Computation
Q909554,computational physics,https://ncatlab.org/nlab/show/computational+physics,Computational physics
Q21198,computer science,https://ncatlab.org/nlab/show/computer+science,Computer science
Q343586,concordance,https://ncatlab.org/nlab/show/concordance,Concordance
Q223557,concrete object,https://ncatlab.org/nlab/show/concrete+object,Physical object
Q1414548,concurrency theory,https://ncatlab.org/nlab/show/concurrency+theory,Concurrency (computer science)
Q1781176,condensate,https://ncatlab.org/nlab/show/condensate,Condensate
Q107427296,condensed mathematics,https://ncatlab.org/nlab/show/condensed+mathematics,Condensed mathematics
Q107427296,condensed set,https://ncatlab.org/nlab/show/condensed+set,Condensed mathematics
Q16783922,conductor,https://ncatlab.org/nlab/show/conductor,Glossary of scheme theory
Q1156912,configuration space (physics),https://ncatlab.org/nlab/show/configuration+space+%28physics%29,Configuration space (physics)
Q5160243,conformal anomaly,https://ncatlab.org/nlab/show/conformal+anomaly,Conformal anomaly
Q20707005,conformal bootstrap,https://ncatlab.org/nlab/show/conformal+bootstrap,Conformal bootstrap
Q546145,conformal compactification,https://ncatlab.org/nlab/show/conformal+compactification,Compactification (mathematics)
Q5160248,conformal connection,https://ncatlab.org/nlab/show/conformal+connection,Conformal connection
Q513175,conformal geometry,https://ncatlab.org/nlab/show/conformal+geometry,Conformal geometry
Q5160256,conformal gravity,https://ncatlab.org/nlab/show/conformal+gravity,Conformal gravity
Q850275,conformal transformation,https://ncatlab.org/nlab/show/conformal+transformation,Conformal map
Q154210,congruence in geometry,https://ncatlab.org/nlab/show/congruence+in+geometry,Congruence (geometry)
Q5161070,conifold transition,https://ncatlab.org/nlab/show/conifold+transition,Conifold
Q226931,conjunction,https://ncatlab.org/nlab/show/conjunction,Conjunction
Q5161408,connected category,https://ncatlab.org/nlab/show/connected+category,Connected category
Q2481270,connected relation,https://ncatlab.org/nlab/show/connected+relation,Connex (logic)
Q1064342,connecting homomorphism,https://ncatlab.org/nlab/show/connecting+homomorphism,Snake lemma
Q521075,connection on a vector bundle,https://ncatlab.org/nlab/show/connection+on+a+vector+bundle,Connection (vector bundle)
Q5161702,connective,https://ncatlab.org/nlab/show/connective,Connective
Q16886123,connective spectrum,https://ncatlab.org/nlab/show/connective+spectrum,Connective spectrum
Q5162250,Conor McBride,https://ncatlab.org/nlab/show/Conor+McBride,Conor McBride
Q2370925,conormal bundle,https://ncatlab.org/nlab/show/conormal+bundle,Normal bundle
Q25303612,conormal sheaf,https://ncatlab.org/nlab/show/conormal+sheaf,Normal cone
Q205805,conservation law,https://ncatlab.org/nlab/show/conservation+law,Conservation law
Q864213,conservative extension,https://ncatlab.org/nlab/show/conservative+extension,Conservative extension
Q5163158,conserved current,https://ncatlab.org/nlab/show/conserved+current,Conserved current
Q864475,constant functor,https://ncatlab.org/nlab/show/constant+functor,Functor
Q5163667,constant presheaf,https://ncatlab.org/nlab/show/constant+presheaf,Constant sheaf
Q65332,Constantin Carathéodory,https://ncatlab.org/nlab/show/Constantin+Carath%C3%A9odory,Constantin Caratheodory
Q1782924,constituent quark model,https://ncatlab.org/nlab/show/constituent+quark+model,Constituent quark
Q1137814,constructive mathematics,https://ncatlab.org/nlab/show/constructive+mathematics,Constructivism (philosophy of mathematics)
Q5164498,constructive quantum field theory,https://ncatlab.org/nlab/show/constructive+quantum+field+theory,Constructive quantum field theory
Q1128596,contents,https://ncatlab.org/nlab/show/contents,Content
Q196626,context,https://ncatlab.org/nlab/show/context,Context
Q749893,continuation-passing style,https://ncatlab.org/nlab/show/continuation-passing+style,Continuation-passing style
Q1322614,continuous functor,https://ncatlab.org/nlab/show/continuous+functor,Limit (category theory)
Q170058,continuous map,https://ncatlab.org/nlab/show/continuous+map,Continuity property
Q5165503,continuous predicate,https://ncatlab.org/nlab/show/continuous+predicate,Continuous predicate
Q193463,continuum mechanics,https://ncatlab.org/nlab/show/continuum+mechanics,Continuum mechanics
Q9268371,contraction rule,https://ncatlab.org/nlab/show/contraction+rule,Metal casting
Q363948,contradiction,https://ncatlab.org/nlab/show/contradiction,Contradiction
Q1077442,contrapositive,https://ncatlab.org/nlab/show/contrapositive,Contrapositive
Q17019511,convolution algebra,https://ncatlab.org/nlab/show/convolution+algebra,Group algebra of a locally compact group
Q1333055,Conway semiring,https://ncatlab.org/nlab/show/Conway+semiring,Rig (algebra)
Q50796002,Cooper H. Langford,https://ncatlab.org/nlab/show/Cooper+H.+Langford,Cooper H. Langford
Q13415428,coordinate projection,https://ncatlab.org/nlab/show/coordinate+projection,Projection map
Q104752,coprime integers,https://ncatlab.org/nlab/show/coprime+integers,Coprime integers
Q55368,copy,https://ncatlab.org/nlab/show/copy,Copy
Q450839,Corbin,https://ncatlab.org/nlab/show/Corbin,Corbin
Q2524691,corecursion,https://ncatlab.org/nlab/show/corecursion,Corecursion
Q6101219,coreflective subcategory,https://ncatlab.org/nlab/show/coreflective+subcategory,Reflective subcategory
Q386320,corepresentable functor,https://ncatlab.org/nlab/show/corepresentable+functor,Representable functor
Q5155179,corepresentation,https://ncatlab.org/nlab/show/corepresentation,Comodule
Q104881170,corestriction,https://ncatlab.org/nlab/show/corestriction,Corestriction
Q5170381,Corey Jones,https://ncatlab.org/nlab/show/Corey+Jones,Corey Jones
Q5170558,coring,https://ncatlab.org/nlab/show/coring,Coring
Q19667469,Corinne Manogue,https://ncatlab.org/nlab/show/Corinne+Manogue,Corinne Manogue
Q5171157,Cornelia Druţu,https://ncatlab.org/nlab/show/Cornelia+Dru%C5%A3u,Cornelia Druțu
Q345306,corner,https://ncatlab.org/nlab/show/corner,Corner
Q1135253,Corrado de Concini,https://ncatlab.org/nlab/show/Corrado+de+Concini,Corrado de Concini
Q1135252,Corrado Segre,https://ncatlab.org/nlab/show/Corrado+Segre,Corrado Segre
Q1784731,correlator,https://ncatlab.org/nlab/show/correlator,Correlator
Q379168,correspondence theory of truth,https://ncatlab.org/nlab/show/correspondence+theory+of+truth,Correspondence theory
Q16951980,cosheaf,https://ncatlab.org/nlab/show/cosheaf,Cosheaf
Q5173969,Cosma Shalizi,https://ncatlab.org/nlab/show/Cosma+Shalizi,Cosma Shalizi
Q19836,cosmic cube,https://ncatlab.org/nlab/show/cosmic+cube,Cosmic Cube
Q273508,cosmic inflation,https://ncatlab.org/nlab/show/cosmic+inflation,Cosmic inflation
Q15605,cosmic microwave background radiation,https://ncatlab.org/nlab/show/cosmic+microwave+background+radiation,Cosmic microwave background
Q1431196,cosmic string,https://ncatlab.org/nlab/show/cosmic+string,Cosmic string
Q1647152,cosmic topology,https://ncatlab.org/nlab/show/cosmic+topology,Topology of the universe
Q338,cosmology,https://ncatlab.org/nlab/show/cosmology,Cosmological
Q5174667,cosocle,https://ncatlab.org/nlab/show/cosocle,Cosocle
Q7573053,cospan,https://ncatlab.org/nlab/show/cospan,Span (category theory)
Q93883746,Costas Kounnas,https://ncatlab.org/nlab/show/Costas+Kounnas,Costas Kounnas
Q5175289,cotangent complex,https://ncatlab.org/nlab/show/cotangent+complex,Cotangent complex
Q93344,cotangent function,https://ncatlab.org/nlab/show/cotangent+function,TrigonometricFunctions
Q832289,Coulomb gauge,https://ncatlab.org/nlab/show/Coulomb+gauge,Gauge transformation
